«БИРИМДИК»,«МЕКЕНЧИЛ»,«ЫЙМАН НУРУ»,«МЕКЕНИМ КЫРГЫЗСТАН»,«РЕФОРМА» партиясы,«АТА МЕКЕН» саясий социалисттик партиясы,«ЗАМАНДАШ»,«БҮТҮН КЫРГЫЗСТАН» саясий партиясы,СОЦИАЛ-ДЕМОКРАТТАР,«МЕКЕН ЫНТЫМАГЫ»,«АФГАНИСТАН СОГУШУНУН АРДАГЕРЛЕРИ ЖАНА УШУЛ СЫЯКТУУ КАГЫШУУЛАРГА КАТЫШКАНДАРДЫН САЯСИЙ ПАРТИЯСЫ»,«ОРДО»,«БИР БОЛ»,РЕСПУБЛИКА,«КЫРГЫЗСТАН»,«ЧОҢ КАЗАТ»,БААРЫНА КАРШЫ,total,form2_percent,level_one
84.99999999999999,52.0,75.00000000000003,137.0,43.0,40.0,42.0,61.00000000000001,43.0,16.0,0.0,2.0,56.00000000000001,66.00000000000001,125.00000000000001,40.0,48.0,931.0,76.10497237569061,БИШКЕК Г.
171.00000000000003,89.0,75.99999999999999,287.99999999999994,61.00000000000001,65.00000000000001,23.0,100.0,64.0,14.0,1.0,0.0,20.0,104.0,14.0,53.99999999999999,31.0,1175.0,66.16187989556136,БИШКЕК Г.
181.0,45.00000000000001,46.99999999999999,60.99999999999999,97.0,46.99999999999999,17.000000000000004,46.99999999999999,74.0,9.0,4.0,1.9999999999999993,29.999999999999996,105.0,22.999999999999996,55.0,41.0,885.0,31.15899825276645,БИШКЕК Г.
316.0,152.0,110.0,258.00000000000006,54.0,74.0,15.0,100.0,58.0,22.0,1.0,1.0,43.0,95.00000000000001,19.0,54.99999999999999,54.99999999999999,1428.0,69.82615894039735,БИШКЕК Г.
114.0,118.0,107.0,250.99999999999997,49.0,79.0,8.0,129.0,55.99999999999999,7.0,6.0,5.0,16.0,74.99999999999999,12.0,22.999999999999996,49.0,1104.0,42.981112812659525,БИШКЕК Г.
106.0,85.0,26.0,54.0,72.99999999999999,27.0,30.999999999999996,73.99999999999999,47.00000000000001,5.0,2.9999999999999996,1.0,11.999999999999998,94.00000000000001,9.000000000000002,22.0,42.00000000000001,711.0,15.44502617801047,БИШКЕК Г.
416.0,54.99999999999999,44.0,72.0,62.00000000000001,65.99999999999999,28.999999999999996,76.0,83.0,11.999999999999995,4.0,2.9999999999999996,18.0,98.0,8.0,56.99999999999999,48.99999999999999,1152.0,35.24962178517398,БИШКЕК Г.
90.00000000000004,84.00000000000001,37.00000000000001,76.99999999999999,58.0,27.99999999999999,11.0,94.99999999999999,35.00000000000001,8.999999999999998,1.0,0.0,6.999999999999999,49.00000000000001,5.0,65.00000000000001,26.999999999999996,678.0,0.5034324942791762,БИШКЕК Г.
305.0,56.0,49.00000000000001,69.0,64.00000000000001,44.0,12.999999999999998,111.0,53.99999999999999,7.0,2.0,3.0,36.00000000000001,105.0,14.0,43.0,54.99999999999999,1030.0,22.971175166297115,БИШКЕК Г.
201.99999999999997,48.00000000000001,31.0,153.0,17.000000000000004,42.99999999999999,5.0,77.0,30.0,3.0,2.0,9.0,62.0,62.0,71.0,7.999999999999999,15.999999999999998,839.0,59.397049390635026,БИШКЕК Г.
226.99999999999991,77.99999999999999,65.0,119.0,48.0,62.0,10.999999999999998,137.00000000000003,84.99999999999999,8.0,2.0000000000000004,2.0000000000000004,37.00000000000001,99.0,18.0,68.0,49.0,1115.0,15.59983043662569,БИШКЕК Г.
248.0,64.99999999999999,58.00000000000001,357.00000000000006,30.0,53.0,6.0,66.0,47.0,2.0,5.000000000000001,1.0,41.0,70.0,31.0,45.00000000000001,31.999999999999996,1157.0,43.803879310344826,БИШКЕК Г.
113.00000000000001,87.0,53.00000000000001,250.0,49.0,58.00000000000001,11.000000000000002,83.0,69.00000000000001,19.000000000000004,5.000000000000001,0.9999999999999999,96.0,69.00000000000001,13.0,70.00000000000001,44.00000000000002,1090.0,14.304753442914262,БИШКЕК Г.
124.99999999999999,145.99999999999997,44.99999999999999,141.00000000000003,41.0,60.0,38.0,105.99999999999999,58.00000000000001,9.999999999999998,4.999999999999999,6.0,33.00000000000001,108.99999999999996,179.99999999999997,51.0,62.0,1216.0,33.20396722725313,БИШКЕК Г.
56.0,99.99999999999999,65.0,221.0,58.0,63.99999999999998,15.0,104.00000000000001,65.0,7.999999999999997,2.9999999999999996,4.0,77.0,88.0,151.99999999999997,52.00000000000001,36.0,1168.0,38.07860262008734,БИШКЕК Г.
183.99999999999997,110.0,86.0,95.99999999999999,68.99999999999999,107.99999999999999,65.0,90.00000000000001,83.00000000000001,21.0,5.999999999999999,8.0,12.999999999999998,129.0,105.99999999999999,78.0,61.99999999999999,1314.0,4.5004500450045,БИШКЕК Г.
141.0,120.00000000000001,100.99999999999999,127.0,56.0,110.0,74.0,85.0,85.0,16.0,1.0,2.0,9.000000000000002,163.0,114.0,100.0,55.0,1359.0,10.533104041272571,БИШКЕК Г.
180.0,105.0,82.0,130.0,50.00000000000002,106.0,32.0,114.0,63.0,20.0,1.0,2.0,16.0,146.00000000000003,10.0,97.99999999999999,40.99999999999999,1196.0,8.333333333333332,БИШКЕК Г.
104.0,91.99999999999999,64.99999999999999,198.0,85.00000000000001,103.0,69.99999999999999,67.00000000000001,95.99999999999999,30.0,2.0,6.0,34.99999999999999,159.99999999999997,23.0,103.0,63.99999999999998,1303.0,8.576560395150427,БИШКЕК Г.
